competitor_id,name,country,country_code
sr:competitor:244388,"Kalyanpur, Adil",India,IND
sr:competitor:1196859,"Suarez, Billy",USA,USA
sr:competitor:458575,"Agostini, Simone",Italy,ITA
sr:competitor:287543,"Hulme, Matt",Australia,AUS
sr:competitor:161868,"Huertas Del Pino, Connor",Peru,PER
sr:competitor:130494,"Neos, Eleftherios",Cyprus,CYP
sr:competitor:119150,"Fancutt, Thomas",Australia,AUS
sr:competitor:1080832,"Fuchs, Zachary",USA,USA
sr:competitor:54975,"Casanova, Hernan",Argentina,ARG
sr:competitor:866247,"Ratti, Lucio",Argentina,ARG
sr:competitor:431697,"Torres, Tiago",Portugal,PRT
sr:competitor:434058,"Boscardin Dias, Pedro",Brazil,BRA
sr:competitor:207777,"Imamura, Masamichi",Japan,JPN
sr:competitor:685379,"Ostapenkov, Daniil",Neutral,
sr:competitor:312728,"Stewart, Hamish",Great Britain,GBR
sr:competitor:1011445,"Exsted, Maxwell",USA,USA
sr:competitor:951223,"Sanchez Quilez, Alejo",Spain,ESP
sr:competitor:215778,"Izquierdo Luque, Rafael",Spain,ESP
sr:competitor:908699,"Bilardo, Jacopo",Italy,ITA
sr:competitor:219398,"Park, Uisung",Republic of Korea,KOR
sr:competitor:92667,"Castelnuovo, Luca",Switzerland,CHE
sr:competitor:763106,"Barton, Hynek",Czechia,CZE
sr:competitor:294300,"Nakashima, Brandon",USA,USA
sr:competitor:682913,"Rocha, Henrique",Portugal,PRT
sr:competitor:82133,"Dellien, Murkel",Bolivia,BOL
sr:competitor:433906,"Couto Loureiro, Joao Victor",Brazil,BRA
sr:competitor:337607,"Yang, Zijiang",China,CHN
sr:competitor:605854,"Maxted, Lui",Great Britain,GBR
sr:competitor:635386,"Popovic, Stefan",Serbia,SRB
sr:competitor:376372,"Perez, Brandon",Venezuela,VEN
sr:competitor:312436,"Hudd, Emile",Great Britain,GBR
sr:competitor:529399,"Papa, Christopher",USA,USA
sr:competitor:840614,"Nagel, Arthur",France,FRA
sr:competitor:228372,"Soriano Barrera, Adria",Colombia,COL
sr:competitor:273883,"Rocha, Francisco",Portugal,PRT
sr:competitor:301896,"Ovcharenko, Oleksandr",Ukraine,UKR
sr:competitor:240264,"Reis Da Silva, Joao Lucas",Brazil,BRA
sr:competitor:180948,"Parizzia, Nicolas",Switzerland,CHE
sr:competitor:530317,"Rincon, Daniel",Spain,ESP
sr:competitor:353586,"Fenty, Andrew",USA,USA
sr:competitor:124934,"Lomakin, Grigoriy",Kazakhstan,KAZ
sr:competitor:215696,"Schell, Niklas",Germany,DEU
sr:competitor:217192,"Ouakaa, Aziz",Tunisia,TUN
sr:competitor:812360,"Sueoka, Yamato",Japan,JPN
sr:competitor:494844,"Binda, Alexander",Italy,ITA
sr:competitor:246745,"Tajima, Naoki",Japan,JPN
sr:competitor:305558,"Roncadelli, Franco",Uruguay,URY
sr:competitor:297608,"Hazawa, Shinji",Japan,JPN
sr:competitor:342826,"Trotter, James Kent",Japan,JPN
sr:competitor:163438,"Sun, Fajing",China,CHN
sr:competitor:224024,"Alvarez Varona, Nicolas",Spain,ESP
sr:competitor:51345,"Damm Jr, Martin",USA,USA
sr:competitor:48055,"Hsieh, Cheng-Peng",Chinese Taipei,TPE
sr:competitor:223874,"Gaston, Hugo",France,FRA
sr:competitor:972327,"Jodar, Rafael",Spain,ESP
sr:competitor:675175,"McCabe, James",Australia,AUS
sr:competitor:763108,"Mensik, Jakub",Czechia,CZE
sr:competitor:337601,"Bu, Yunchaokete",China,CHN
sr:competitor:671637,"Fils, Arthur",France,FRA
sr:competitor:399637,"Cobolli, Flavio",Italy,ITA
sr:competitor:266711,"Pavlovic, Luka",France,FRA
sr:competitor:163480,"Bublik, Alexander",Kazakhstan,KAZ
sr:competitor:679481,"Hopper, James",Great Britain,GBR
sr:competitor:580165,"Johansson, Oliver",Sweden,SWE
sr:competitor:121668,"Meligeni Alves, Felipe",Brazil,BRA
sr:competitor:387066,"Forejtek, Jonas",Czechia,CZE
sr:competitor:414501,"Houkes, Max",Netherlands,NLD
sr:competitor:43319,"Duran, Guillermo",Argentina,ARG
sr:competitor:450343,"Hussey, Giles",Great Britain,GBR
sr:competitor:342822,"Ichikawa, Taisei",Japan,JPN
